Penyakit,Gejala,Solusi
Busuk Lunak (Kubis),kubis daun berwarna kuning terdapat bercak pada daun daun mengalami kelayuan,"**(Penyebab: Bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
Gunakan varietas tahan dan bakterisida"
Karat Daun (Kubis),kubis batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur karat daun)**

Langkah Penanganan:
Gunakan fungisida dan rotasi tanaman"
Busuk Akar Phytophthora (Kubis),kubis daun tetap hijau pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase tanah"
Embun Tepung (Kubis),kubis daun tetap hijau daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Erysiphe cruciferarum)**

Langkah Penanganan:
menjaga sirkulasi udara, sanitasi kebun, varietas tahan, fungisida sulfur"
Bercak Daun (Kubis),kubis daun tetap hijau terdapat bercak pada daun batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Alternaria brassicae)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, varietas tahan, fungisida"
Layu Bakteri (Kubis),kubis daun berwarna kuning terdapat bercak pada daun,"**(Penyebab: bakteri Xanthomonas campestris)**

Langkah Penanganan:
benih sehat, sanitasi kebun, rotasi tanaman, bakterisida"
Busuk Lunak (Kubis),kubis terdapat bercak pada daun batang mengalami pembusukan,"**(Penyebab: bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
sanitasi kebun, pengaturan kelembapan, bakterisida"
Busuk Akar Phytophthora (Kubis),kubis daun berwarna kuning daun mengalami kelayuan,"**(Penyebab: jamur air Phytophthora spp.)**

Langkah Penanganan:
drainase baik, rotasi tanaman, fungisida"
Antraknosa (Kubis),kubis terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Colletotrichum spp.)**

Langkah Penanganan:
sanitasi kebun, rotasi tanaman, fungisida"
Hawar Daun Bakteri (Kubis),kubis daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Bakteri Xanthomonas campestris)**

Langkah Penanganan:
Benih sehat, sanitasi tanaman"
Busuk Hitam (Kubis),kubis daun berwarna kuning daun mengalami kelayuan ,"**(Penyebab: Bakteri Xanthomonas campestris)**

Langkah Penanganan:
benih bebas patogen, sanitasi lahan, rotasi tanaman, bakterisida tembaga"
Bercak Daun (Kubis),kentang daun bercak coklat,"**(Penyebab: Alternaria brassicae)**

Langkah Penanganan:
Gunakan fungisida (mankozeb/azoksistrobin), lakukan rotasi tanaman, dan buang daun terinfeksi"
Ulat Daun (Kubis),kubis daun habis dimakan,"**(Penyebab: Plutella xylostella)**

Langkah Penanganan:
Gunakan insektisida biologis (Bt), pemasangan perangkap, dan pengendalian terpadu"
Karat Daun (Mangga),mangga daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan,"**(Penyebab: Jamur Puccinia spp.)**

Langkah Penanganan:
Pemangkasan daun terinfeksi, sanitasi kebun, meningkatkan sirkulasi udara, dan penyemprotan fungisida"
Hawar Daun Bakteri (Mangga),mangga daun berwarna kuning,"**(Penyebab: Bakteri Xanthomonas oryzae)**

Langkah Penanganan:
Gunakan varietas tahan penyakit, pengaturan air, dan penyemprotan bakterisida"
Busuk Lunak (Mangga),mangga daun tetap hijau pertumbuhan tanaman terhambat,"**(Penyebab: Bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
Kurangi kelembaban dan sanitasi tanaman"
Karat Daun (Mangga),mangga terdapat bercak pada daun batang mengalami pembusukan,"**(Penyebab: Jamur Puccinia spp.)**

Langkah Penanganan:
Fungisida dan sanitasi daun"
Busuk Akar (Mangga),mangga batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Rhizoctonia solani)**

Langkah Penanganan:
Perbaiki drainase tanah"
Jamur Upas (Mangga),mangga daun berwarna kuning terdapat bercak pada daun,"**(Penyebab: Jamur Corticium salmonicolor)**

Langkah Penanganan:
Pangkas cabang terinfeksi, jaga sirkulasi udara, semprot fungisida tembaga"
Busuk Buah Botrytis (Mangga),mangga terdapat bercak pada daun batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
Buang buah terinfeksi, semprot fungisida"
Jamur Upas (Mangga),mangga daun berwarna kuning batang mengalami pembusukan,"**(Penyebab: Jamur Corticium salmonicolor)**

Langkah Penanganan:
Pangkas cabang sakit dan semprot fungisida"
Busuk Akar Phytophthora (Mangga),mangga daun berwarna kuning terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur air Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase tanah dan gunakan fungisida sistemik"
Busuk Akar Phytophthora (Mangga),"mangga batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase dan gunakan fungisida"
Karat Daun (Mangga),"mangga daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur karat daun)**

Langkah Penanganan:
Semprot fungisida"
Embun Tepung (Mangga),"mangga terdapat bercak pada daun, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Oidium spp.)**

Langkah Penanganan:
Gunakan fungisida sulfur"
Karat Daun (Mangga),"mangga terdapat bercak pada daun, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: jamur Puccinia spp.)**

Langkah Penanganan:
pemangkasan daun sakit, sanitasi kebun, peningkatan sirkulasi udara, fungisida"
Antraknosa (Mangga),"mangga daun berwarna kuning, terdapat bercak pada daun, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: jamur Colletotrichum gloeosporioides)**

Langkah Penanganan:
pemangkasan bagian sakit, sanitasi kebun, menjaga kelembapan, fungisida"
Bercak Daun (Mangga),"mangga daun berwarna kuning, pertumbuhan tanaman terhambat","**(Penyebab: jamur Cercospora mangiferae)**

Langkah Penanganan:
pemangkasan daun sakit, sanitasi kebun, rotasi tanaman, fungisida"
Antraknosa (Mangga),"mangga daun tetap hijau, daun mengalami kelayuan","**(Penyebab: jamur Colletotrichum gloeosporioides)**

Langkah Penanganan:
pemangkasan daun sakit, sanitasi kebun, menjaga kelembapan, fungisida"
Busuk Lunak (Mangga),"mangga daun tetap hijau, batang mengalami pembusukan","**(Penyebab: bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
sanitasi kebun, pengaturan kelembapan, penggunaan bibit sehat, bakterisida"
Layu Bakteri (Mangga),"mangga daun tetap hijau, terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: bakteri Ralstonia solanacearum)**

Langkah Penanganan:
bibit sehat, sanitasi kebun, rotasi tanaman, bakterisida"
Busuk Hitam (Mangga),mangga batang mengalami pembusukan,"**(Penyebab: jamur Alternaria spp.)**

Langkah Penanganan:
sanitasi tanaman sakit, pemangkasan, fungisida, rotasi tanaman"
Antraknosa (Mangga),mangga batang mengalami pembusukan,"**(Penyebab: Jamur Colletotrichum gloeosporioides)**

Langkah Penanganan:
Sanitasi tanaman, fungisida"
Karat Daun (Mangga),"mangga daun tetap hijau, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Puccinia mangiferae)**

Langkah Penanganan:
sanitasi daun terinfeksi, pemangkasan, fungisida mankozeb"
Busuk Akar Phytophthora (Mangga),mangga daun mengalami kelayuan,"**(Penyebab: Jamur Phytophthora palmivora)**

Langkah Penanganan:
perbaikan drainase tanah, sanitasi kebun, fungisida fosetil-Al"
Busuk Akar Phytophthora (Mangga),"mangga daun berwarna kuning, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Phytophthora palmivora)**

Langkah Penanganan:
perbaikan drainase tanah, sanitasi kebun, fungisida fosetil-Al"
Blas (Mangga),mangga daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Mangga),mangga daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Mangga),mangga daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Mangga),mangga daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Mangga),mangga buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Mangga),"mangga buah coklat kehitaman, busuk lembek","**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Mangga),mangga daun bercak kuning-oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Mangga),"mangga daun keriting, kerdil, berubah kuning","**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Mangga),"mangga akar membusuk, tanaman layu mendadak","**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Mangga),mangga buah berlubang kecil biji rusak,"**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Antraknosa (Mangga),mangga buah bercak hitam,"**(Penyebab: Colletotrichum gloeosporioides)**

Langkah Penanganan:
Gunakan insektisida biologis (Bt), pemasangan perangkap, dan pengendalian terpadu"
Wereng Mangga (Mangga),mangga daun menguning,"**(Penyebab: Idioscopus sp.)**

Langkah Penanganan:
Gunakan fungisida sistemik (difenokonazol), lakukan pemangkasan, dan sanitasi buah sakit"
Powdery Mildew (Embun Tepung) (Mawar),"mawar lapisan putih seperti bedak di daun, batang, dan bunga.","**(Penyebab: Lapisan putih seperti bedak di daun, batang, dan bunga)**

Langkah Penanganan:
Semprot fungisida sulfur atau kalium bikarbonat. Atur jarak tanam agar tidak terlalu lembap."
Black Spot (Bercak Hitam) (Mawar),"mawar bercak hitam lingkaran dengan tepi tidak rata, daun menguning dan gugur.","**(Penyebab: Bercak hitam lingkaran, daun menguning dan gugur)**

Langkah Penanganan:
Buang daun terinfeksi, pangkas tanaman yang terlalu rimbun, hindari penyiraman overhead."
Antraknosa (Melon),melon daun berwarna kuning daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Colletotrichum gloeosporioides)**

Langkah Penanganan:
Penyemprotan fungisida, sanitasi kebun, dan pemangkasan bagian tanaman yang terinfeksi"
Bercak Daun (Melon),melon daun tetap hijau terdapat bercak pada daun batang mengalami pembusukan,"**(Penyebab: Jamur Alternaria spp.)**

Langkah Penanganan:
Penyemprotan fungisida"
Busuk Buah Botrytis (Melon),melon daun berwarna kuning terdapat bercak pada daun batang mengalami pembusukan,"**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
Gunakan fungisida dan kurangi kelembapan"
Busuk Hitam (Melon),"melon daun berwarna kuning, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Alternaria spp.)**

Langkah Penanganan:
Fungisida dan sanitasi kebun"
Bercak Daun Cercospora (Melon),"melon daun berwarna kuning, terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Jamur Cercospora spp.)**

Langkah Penanganan:
Gunakan fungisida"
Embun Tepung (Melon),"melon daun berwarna kuning, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Erysiphe spp.)**

Langkah Penanganan:
Gunakan fungisida sulfur"
Karat Daun (Melon),melon daun berwarna kuning daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur karat daun)**

Langkah Penanganan:
Fungisida dan sanitasi kebun"
Busuk Hitam (Melon),melon daun berwarna kuning terdapat bercak pada daun pertumbuhan tanaman terhambat,"**(Penyebab: jamur Didymella bryoniae)**

Langkah Penanganan:
rotasi tanaman, sanitasi kebun, pengaturan kelembapan, fungisida"
Layu Bakteri (Melon),"melon terdapat bercak pada daun, daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: bakteri Ralstonia solanacearum)**

Langkah Penanganan:
penggunaan bibit sehat, rotasi tanaman, sanitasi kebun, bakterisida"
Busuk Hitam (Melon),"melon daun berwarna kuning, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: jamur Didymella bryoniae)**

Langkah Penanganan:
rotasi tanaman, sanitasi kebun, pengaturan kelembapan, fungisida"
Karat Daun (Melon),melon terdapat bercak pada daun pertumbuhan tanaman terhambat,"**(Penyebab: jamur Puccinia spp.)**

Langkah Penanganan:
sanitasi kebun, rotasi tanaman, varietas tahan, fungisida"
Antraknosa (Melon),melon terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Colletotrichum lagenarium)**

Langkah Penanganan:
rotasi tanaman, sanitasi kebun, penggunaan benih sehat, fungisida"
Jamur Upas (Melon),melon daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: jamur Upasia salmonicolor)**

Langkah Penanganan:
pemangkasan bagian sakit, sanitasi kebun, menjaga kelembapan, fungisida"
Busuk Lunak (Melon),melon terdapat bercak pada daun,"**(Penyebab: Bakteri Erwinia carotovora)**

Langkah Penanganan:
Sanitasi tanaman, drainase baik, bakterisida"
Busuk Akar (Melon),melon daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Pythium spp.)**

Langkah Penanganan:
Perbaiki drainase, rotasi tanaman, fungisida"
Antraknosa (Melon),melon daun tetap hijau batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Colletotrichum lagenarium)**

Langkah Penanganan:
Sanitasi tanaman, rotasi tanaman, fungisida"
Bercak Daun Cercospora (Melon),melon daun berwarna kuning terdapat bercak pada daun pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Cercospora citrullina)**

Langkah Penanganan:
Sanitasi daun sakit, fungisida"
Busuk Akar (Melon),melon daun tetap hijau daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Pythium spp.)**

Langkah Penanganan:
Drainase baik, rotasi tanaman"
Layu Bakteri (Melon),melon daun tetap hijau batang mengalami pembusukan,"**(Penyebab: Bakteri Erwinia tracheiphila)**

Langkah Penanganan:
pengendalian serangga vektor, sanitasi tanaman sakit, rotasi tanaman, varietas tahan"
Busuk Hitam (Melon),melon daun mengalami kelayuan,"**(Penyebab: Jamur Aspergillus niger)**

Langkah Penanganan:
sanitasi buah sakit, rotasi tanaman, fungisida mankozeb"
Bercak Daun (Melon),melon terdapat bercak pada daun batang mengalami pembusukan pertumbuhan tanaman terhamba,"**(Penyebab: Jamur Cercospora citrullina)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, fungisida klorotalonil"
Embun Bulu (Melon),melon daun kuning berbulu,"**(Penyebab: Pseudoperonospora cubensis)**

Langkah Penanganan:
Gunakan insektisida (imidakloprid), lakukan monitoring rutin, dan kendalikan populasi hama"
Antraknosa (Melon),melon buah bercak,"**(Penyebab: Colletotrichum lagenarium)**

Langkah Penanganan:
Gunakan fungisida (metalaksil), kurangi kelembaban, dan perbaiki sirkulasi udara"
Powdery Mildew (Embun Tepung) (Mentimun),"timun lapisan putih seperti bedak di daun, batang, dan bunga.","**(Penyebab: Lapisan putih seperti bedak di daun, batang, dan bunga)**

Langkah Penanganan:
Semprot fungisida sulfur atau kalium bikarbonat. Atur jarak tanam agar tidak terlalu lembap."
Busuk Lunak (Padi),padi daun coklat,"**(Penyebab: Bakteri pembusuk jaringan tanaman)**

Langkah Penanganan:
Gunakan benih sehat dan sanitasi lahan"
Karat Daun (Padi),padi daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur karat)**

Langkah Penanganan:
Gunakan varietas tahan penyakit"
Antraknosa (Padi),padi terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Colletotrichum spp.)**

Langkah Penanganan:
Fungisida dan rotasi tanaman"
Embun Tepung (Padi),padi daun tetap hijau,"**(Penyebab: jamur Erysiphe spp.)**

Langkah Penanganan:
varietas tahan, pengaturan jarak tanam, sanitasi lahan, fungisida"
Karat Daun (Padi),padi daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: jamur Puccinia spp.)**

Langkah Penanganan:
varietas tahan, sanitasi lahan, rotasi tanaman, fungisida"
Busuk Hitam (Padi),padi daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: bakteri Pectobacterium spp.)**

Langkah Penanganan:
sanitasi lahan, penggunaan bibit sehat, pengaturan air, bakterisida"
Busuk Buah Botrytis (Padi),pagi daun tetap hijau,"**(Penyebab: jamur Botrytis cinerea)**

Langkah Penanganan:
sanitasi tanaman sakit, pengaturan kelembapan, rotasi tanaman, fungisida"
Busuk Akar Phytophthora (Padi),padi daun berwarna kuning batang mengalami pembusukan,"**(Penyebab: jamur air Phytophthora spp.)**

Langkah Penanganan:
drainase baik, rotasi tanaman, sanitasi lahan, fungisida"
Bercak Daun Cercospora (Padi),padi daun berwarna kuning daun mengalami kelayuan,"**(Penyebab: jamur Cercospora oryzae)**

Langkah Penanganan:
sanitasi lahan, varietas tahan, rotasi tanaman, fungisida"
Karat Daun (Padi),padi daun tetap hijau batang mengalami pembusukan,"**(Penyebab: jamur Puccinia spp.)**

Langkah Penanganan:
varietas tahan, sanitasi lahan, fungisida"
Antraknosa (Padi),"padi daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: Jamur Colletotrichum spp.)**

Langkah Penanganan:
Sanitasi lahan, rotasi tanaman, pengaturan kelembapan, fungisida"
Karat Daun (Padi),"padi daun berwarna kuning, batang mengalami pembusukan","**(Penyebab: Jamur Puccinia spp.)**

Langkah Penanganan:
Gunakan varietas tahan, pemupukan seimbang, fungisida"
Busuk Akar (Padi),"padi  daun berwarna kuning, daun mengalami kelayuan","**(Penyebab: Jamur Rhizoctonia solani)**

Langkah Penanganan:
Drainase baik, rotasi tanaman, fungisida"
Bercak Daun Cercospora (Padi),"padi  daun berwarna kuning, daun mengalami kelayuan","**(Penyebab: Jamur Cercospora oryzae)**

Langkah Penanganan:
Sanitasi lahan, fungisida"
Antraknosa (Padi),"padi  daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: Jamur Colletotrichum spp.)**

Langkah Penanganan:
Sanitasi lahan, fungisida"
Karat Daun (Padi),"padi  daun berwarna kuning, batang mengalami pembusukan","**(Penyebab: Jamur Puccinia spp.)**

Langkah Penanganan:
Varietas tahan, fungisida"
Busuk Buah Botrytis (Padi),padi daun tetap hijau batang mengalami pembusukan,"**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
pengaturan jarak tanam, pengurangan kelembaban lahan, sanitasi sisa tanaman, fungisida iprodione atau mankozeb"
Bercak Daun Cercospora (Padi),padi daun tetap hijau terdapat bercak pada daun daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Cercospora oryzae)**

Langkah Penanganan:
rotasi tanaman, sanitasi lahan, fungisida mankozeb"
Bercak Daun Cercospora (Padi),padi daun mengalami kelayuan batang mengalami pembusukan pertumbuhan tanaman terhambat,"**(Penyebab: Jamur Cercospora oryzae)**

Langkah Penanganan:
rotasi tanaman, sanitasi lahan, fungisida mankozeb"
Blas (Padi),padi daun mengalami kelayuan batang mengalami pembusukan,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Padi),padi daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Padi),padi daun menguning lalu mengering,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Padi),padi daun berlubang tidak beraturan,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Padi),padi daun layu dari bawah ke atas,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Padi),padi buah coklat kehitaman busuk lembek,"**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Padi),padi daun bercak kuning oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Padi),padi daun keriting kerdil berubah kuning,"**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Padi),padi akar membusuk tanaman layu mendadak,"**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Padi),padi buah berlubang kecil biji rusak,"**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Blas (Padi),padi daun seperti terbakar,"**(Penyebab: Pyricularia oryzae)**

Langkah Penanganan:
Gunakan fungisida, lakukan rotasi tanaman, dan sanitasi kebun"
Hawar Daun (Padi),padi daun mengering,"**(Penyebab: Xanthomonas oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, aplikasi fungisida (triazol), dan pemupukan seimbang"
Wereng Coklat (Padi),padi tanaman menguning dan kering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan varietas tahan, sanitasi lahan, dan aplikasi bakterisida bila diperlukan"
Bercak Daun (Pepaya),"pepaya daun berwarna kuning, terdapat bercak pada daun, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Alternaria alternata)**

Langkah Penanganan:
Penyemprotan fungisida, membuang daun terinfeksi, dan menjaga sirkulasi udara"
Embun Tepung (Pepaya),"pepaya daun tetap hijau, terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Jamur Erysiphe cichoracearum)**

Langkah Penanganan:
Penyemprotan fungisida sulfur dan pengurangan kelembaban"
Layu Bakteri (Pepaya),pepaya daun mengalami kelayuan,"**(Penyebab: Bakteri Ralstonia solanacearum)**

Langkah Penanganan:
Sanitasi lahan, rotasi tanaman, dan penggunaan bibit seha"
Busuk Lunak (Pepaya),pepaya terdapat bercak pada daun,"**(Penyebab: Bakteri Erwinia carotovora)**

Langkah Penanganan:
Buang bagian tanaman terinfeksi, kurangi kelembapan, gunakan bakterisida"
Busuk Lunak (Pepaya),"pepaya daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Bakteri Erwinia carotovora)**

Langkah Penanganan:
Sanitasi kebun dan bakterisida"
Bercak Daun (Pepaya),pepaya daun tetap hijau,"**(Penyebab: jamur Cercospora papayae)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, menjaga kelembapan, fungisida"
Layu Fusarium (Pepaya),pepaya daun tetap hijau,"**(Penyebab: jamur Fusarium oxysporum)**

Langkah Penanganan:
rotasi tanaman, bibit sehat, drainase baik, fungisida"
Embun Tepung (Pepaya),"pepaya daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: jamur Oidium caricae)**

Langkah Penanganan:
sanitasi daun sakit, sirkulasi udara baik, pengaturan kelembapan, fungisida"
Hawar Daun Bakteri (Pepaya),"pepaya daun tetap hijau, pertumbuhan tanaman terhambat","**(Penyebab: bakteri Xanthomonas spp.)**

Langkah Penanganan:
benih sehat, sanitasi kebun, rotasi tanaman, bakterisida"
Antraknosa (Pepaya),"pepaya daun tetap hijau, terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: jamur Colletotrichum gloeosporioides)**

Langkah Penanganan:
sanitasi tanaman, pemangkasan, fungisida"
Antraknosa (Pepaya),"pepaya daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Colletotrichum gloeosporioides)**

Langkah Penanganan:
Sanitasi tanaman, fungisida, rotasi tanaman"
Karat Daun (Pepaya),pepaya daun berwarna coklat,"**(Penyebab: Jamur Puccinia spp.)**

Langkah Penanganan:
Sanitasi daun sakit, fungisida"
Bercak Daun Cercospora (Pepaya),"pepaya terdapat bercak pada daun, daun mengalami kelayuan","**(Penyebab: Jamur Cercospora papayae)**

Langkah Penanganan:
sanitasi daun sakit, pengaturan jarak tanam, fungisida mankozeb"
Blas (Pepaya),pepaya daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Pepaya),pepaya daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Pepaya),pepaya daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Pepaya),pepaya daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Pepaya),pepaya buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Pepaya),"pepaya buah coklat kehitaman, busuk lembek","**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Pepaya),pepaya daun bercak kuning-oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Pepaya),"pepaya daun keriting, kerdil, berubah kuning","**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Pepaya),"pepaya akar membusuk, tanaman layu mendadak","**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Pepaya),"pepaya buah berlubang kecil, biji rusak","**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Penyakit Lodoh (Pinus),pinus tanaman rebah,"**(Penyebab: Pythium sp.)**

Langkah Penanganan:
Gunakan insektisida selektif, tanam varietas tahan, dan terapkan pengendalian terpadu (PHT)"
Blas (Pisang),pisang daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Pisang),pisang daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
