sumber_data;nama_tanaman;jenis_hama_penyakit_tanaman;gejala;Organisme Penyebab;solusi
manual;Pisang;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Pisang;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Pisang;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Pisang;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Pisang;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Pisang;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Pisang;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Pisang;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Pisang;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Pisang;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Semangka;Busuk akar;Daun berwarna kuning;Jamur Rhizoctonia solani;Perbaikan drainase tanah
kaggle;Semangka;Bercak Daun Cercospora;Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Cercospora spp.;Fungisida dan sanitasi kebun
kaggle;Semangka;Layu Bakteri;Daun mengalami kelayuan;Bakteri Ralstonia solanacearum;Gunakan varietas tahan dan sanitasi lahan
kaggle;Semangka;Karat Daun;Daun tetap hijau, Pertumbuhan tanaman terhambat;jamur Puccinia spp.;sanitasi kebun, rotasi tanaman, varietas tahan, fungisida
kaggle;Semangka;Jamur Upas;Daun tetap hijau, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;jamur Upasia salmonicolor;pemangkasan bagian sakit, sanitasi kebun, menjaga kelembapan, fungisida
kaggle;Semangka;Busuk Lunak;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;bakteri Pectobacterium carotovorum;sanitasi kebun, pengaturan kelembapan, penggunaan bibit sehat, bakterisida
kaggle;Semangka;Busuk Akar Phytophthora;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur air Phytophthora capsici;drainase baik, penggunaan mulsa, rotasi tanaman, fungisida
kaggle;Semangka;Busuk Lunak;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;bakteri Pectobacterium carotovorum;sanitasi kebun, pengaturan kelembapan, bibit sehat, bakterisida
kaggle;Semangka;Layu Fusarium;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Fusarium oxysporum;rotasi tanaman, varietas tahan, sanitasi lahan, fungisida
kaggle;Semangka;Layu Bakteri;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;bakteri Ralstonia solanacearum;bibit sehat, rotasi tanaman, sanitasi lahan, bakterisida
kaggle;Semangka;Layu Fusarium;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Fusarium oxysporum;rotasi tanaman, varietas tahan, fungisida
kaggle;Semangka;Bercak Daun;Daun berwarna kuning, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Cercospora citrullina;sanitasi tanaman sakit, rotasi tanaman, pengaturan kelembaban kebun, fungisida klorotalonil atau mankozeb
kaggle;Semangka;Karat Daun;Daun mengalami kelayuan;Jamur Puccinia spp.;sanitasi tanaman sakit, pengurangan kelembaban kebun, fungisida mankozeb atau propikonazol
kaggle;Semangka;Busuk Lunak;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Bakteri Erwinia carotovora;sanitasi kebun, pengaturan kelembaban, bakterisida tembaga
kaggle;Semangka;Busuk Hitam;Daun berwarna kuning, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Aspergillus niger;sanitasi buah sakit, rotasi tanaman, fungisida mankozeb
manual;Semangka;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Semangka;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Semangka;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Semangka;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Semangka;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Semangka;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Semangka;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Semangka;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Semangka;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Semangka;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Singkong;Busuk Akar Phytophthora;Daun tetap hijau, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Phytophthora palmivora;Perbaikan drainase tanah, hindari genangan air, dan penggunaan fungisida sistemik
kaggle;Singkong;Busuk Hitam;Daun tetap hijau, Daun mengalami kelayuan;Bakteri Xanthomonas campestris;Rotasi tanaman dan penggunaan benih sehat
kaggle;Singkong;Layu Fusarium;Daun tetap hijau;Jamur Fusarium oxysporum;Rotasi tanaman dan varietas tahan
kaggle;Singkong;Bercak Daun;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Alternaria spp.;Fungisida dan sanitasi kebun
kaggle;Singkong;Layu Fusarium;Batang mengalami pembusukan;Jamur Fusarium oxysporum;Rotasi tanaman dan fungisida
kaggle;Singkong;Antraknosa;Daun berwarna kuning, Batang mengalami pembusukan;Jamur Colletotrichum spp.;Fungisida dan rotasi tanaman
kaggle;Singkong;Karat Daun;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur karat daun;Semprot fungisida
kaggle;Singkong;Bercak Daun;Daun tetap hijau, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Cercospora henningsii;sanitasi daun sakit, rotasi tanaman, penggunaan varietas tahan, fungisida
kaggle;Singkong;Bercak Daun Cercospora;Daun tetap hijau, Daun mengalami kelayuan;jamur Cercospora henningsii;sanitasi daun sakit, rotasi tanaman, varietas tahan, fungisida
kaggle;Singkong;Embun Tepung;Terdapat bercak pada daun, Daun mengalami kelayuan;jamur Oidium manihotis;sanitasi daun sakit, sirkulasi udara baik, rotasi tanaman, fungisida
kaggle;Singkong;Antraknosa;Daun berwarna kuning, Batang mengalami pembusukan;Jamur Colletotrichum gloeosporioides;Sanitasi tanaman, fungisida, varietas tahan
kaggle;Singkong;Antraknosa;Daun berwarna kuning, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Colletotrichum gloeosporioides;sanitasi tanaman sakit, varietas tahan, rotasi tanaman, fungisida mankozeb
kaggle;Singkong;Busuk Buah Botrytis;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Botrytis cinerea;sanitasi tanaman sakit, pengaturan kelembaban, fungisida iprodione atau mankozeb
kaggle;Singkong;Layu Fusarium;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Fusarium oxysporum;rotasi tanaman, bibit sehat, solarisasi tanah, agen hayati Trichoderma
kaggle;Singkong;Busuk Akar Phytophthora;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur Phytophthora palmivora;perbaikan drainase tanah, sanitasi tanaman sakit, fungisida metalaksil
manual;Singkong;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Singkong;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Singkong;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Singkong;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Singkong;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Singkong;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Singkong;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Singkong;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Singkong;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Singkong;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Stroberi;Busuk Lunak;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Bakteri Pectobacterium carotovorum;Sanitasi tanaman, buang bagian terinfeksi, perbaiki drainase, gunakan bibit sehat, aplikasi bakterisida
kaggle;Stroberi;Bercak Lunak;Daun berwarna kuning, Terdapat bercak pada daun;Bakteri Pectobacterium carotovorum;Sanitasi tanaman dan bakterisida
kaggle;Stroberi;Karat Daun;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur karat daun;Pangkas daun sakit, gunakan fungisida
kaggle;Stroberi;Hawar Daun Bakteri;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Bakteri patogen daun;Gunakan bakterisida
kaggle;Stroberi;Layu Fusarium;Daun berwarna kuning, Daun mengalami kelayuan;Jamur Fusarium oxysporum;Rotasi tanaman dan fungisida
kaggle;Stroberi;Hawar Daun Bakteri;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan;Bakteri Xanthomonas spp.;Gunakan bibit sehat, sanitasi tanaman, bakterisida
kaggle;Stroberi;Busuk Lunak;Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Bakteri Erwinia carotovora;Drainase baik, sanitasi tanaman
kaggle;Stroberi;Hawar Daun Bakteri;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan;Bakteri Xanthomonas spp.;Bibit sehat, bakterisida
kaggle;Tebu;Jamur Upas;Pertumbuhan tanaman terhambat;Jamur Upasia salmonicolor;Pangkas cabang terinfeksi, sanitasi kebun, dan fungisida
kaggle;Tebu;Embun Tepung;Daun tetap hijau, Pertumbuhan tanaman terhambat;Jamur Erysiphe spp.;Semprot fungisida sulfur dan kurangi kelembaban
kaggle;Tebu;Busuk hitam;Terdapat bercak pada daun;Bakteri Xanthomonas campestris;Rotasi tanaman dan sanitasi
kaggle;Tebu;Hawar Daun Bakteri;Daun tetap hijau, Batang mengalami pembusukan;Jamur Botrytis cinerea;Kurangi kelembaban dan gunakan fungisida
kaggle;Tebu;Hawar Daun Bakteri;Terdapat bercak pada daun, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Bakteri Xanthomonas albilineans;Gunakan varietas tahan dan sanitasi kebun
kaggle;Tebu;Busuk Akar Phytophthora;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Phytophthora spp.;Drainase tanah baik dan fungisida
kaggle;Tebu;Bercak Daun;Terdapat bercak pada daun, Batang mengalami pembusukan;jamur Cercospora spp.;sanitasi daun sakit, rotasi tanaman, varietas tahan, fungisida
kaggle;Tebu;Embun Tepung;Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;jamur Erysiphe spp.;sanitasi kebun, rotasi tanaman, menjaga sirkulasi udara, fungisida
kaggle;Tebu;Jamur Upas;Daun berwarna kuning, Pertumbuhan tanaman terhambat;jamur Upasia salmonicolor;pemangkasan bagian terinfeksi, sanitasi kebun, fungisida, pengaturan kelembapan
kaggle;Tebu;Busuk Akar;Daun berwarna kuning, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;jamur Rhizoctonia solani;rotasi tanaman, sanitasi lahan, drainase baik, fungisida
kaggle;Tebu;Busuk Buah Botrytis;Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur Botrytis cinerea;Sanitasi tanaman, kurangi kelembapan, pemangkasan bagian terinfeksi, fungisida
kaggle;Tebu;Bercak Daun;Daun berwarna kuning, Pertumbuhan tanaman terhambat;Jamur Cercospora spp.;Sanitasi daun terinfeksi, jarak tanam cukup, fungisida
kaggle;Tebu;Antraknosa;Daun tetap hijau, Pertumbuhan tanaman terhambat;Jamur Colletotrichum spp.;Sanitasi tanaman, rotasi tanaman, fungisida
kaggle;Tebu;Karat Daun;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Puccinia melanocephala;Varietas tahan, sanitasi tanaman, fungisida
kaggle;Tebu;Hawar Daun Bakteri;Terdapat bercak pada daun, Batang mengalami pembusukan;Bakteri Xanthomonas albilineans;Gunakan bibit sehat, sanitasi tanaman, bakterisida
kaggle;Tebu;Busuk Buah Botrytis;Daun mengalami kelayuan;Jamur Botrytis cinerea;Sanitasi tanaman, fungisida
kaggle;Tebu;Busuk Akar Phytophthora;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Phytophthora spp.;Drainase baik, rotasi tanaman, fungisida
kaggle;Tebu;Busuk Buah Botrytis;Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur Botrytis cinerea;Sanitasi tanaman, fungisida
kaggle;Tebu;Bercak Daun;Daun berwarna kuning, Pertumbuhan tanaman terhambat;Jamur Cercospora spp.;Sanitasi daun sakit
kaggle;Tebu;Antraknosa;Daun tetap hijau, Pertumbuhan tanaman terhambat;Jamur Colletotrichum spp.;Sanitasi tanaman
kaggle;Tebu;Karat Daun;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Puccinia melanocephala;varietas tahan, sanitasi sisa tanaman, pengaturan jarak tanam, fungisida mankozeb atau propikonazol
kaggle;Tebu;Busuk Lunak;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan;Bakteri Erwinia carotovora;sanitasi kebun, perbaikan drainase tanah, bibit sehat, bakterisida tembaga, pengendalian kelembaban
kaggle;Tebu;Embun Tepung;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Erysiphe spp.;varietas tahan, pengurangan kelembaban, sanitasi daun terinfeksi, fungisida sulfur atau triazol
kaggle;Tebu;Busuk Lunak;Terdapat bercak pada daun, Batang mengalami pembusukan;Bakteri Erwinia carotovora;sanitasi kebun, perbaikan drainase, bibit sehat, bakterisida tembaga
manual;Tebu;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Tebu;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Tebu;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Tebu;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Tebu;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Tebu;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Tebu;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Tebu;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Tebu;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Tebu;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Terong;Layu Bakteri;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan;Bakteri Ralstonia solanacearum;Rotasi tanaman dan penggunaan varietas tahan penyakit
kaggle;Terong;Karat Daun;Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Puccinia spp.;Penyemprotan fungisida dan sanitasi daun
kaggle;Terong;Karat Daun;Daun tetap hijau, Terdapat bercak pada daun;Jamur Puccinia spp.;Fungisida dan pemangkasan daun terinfeksi
kaggle;Terong;Busuk Buah Botrytis;Daun tetap hijau, Batang mengalami pembusukan;jamur Corticium salmonicolor;Pangkas bagian tanaman yang terinfeksi, jaga sirkulasi udara, dan semprot fungisida berbahan tembaga.
kaggle;Terong;Karat Daun;Daun tetap hijau, Terdapat bercak pada daun, Pertumbuhan tanaman terhambat;Jamur karat Puccinia spp.;Semprot fungisida, buang daun terinfeksi
kaggle;Terong;Karat Daun;Daun tetap hijau, Daun mengalami kelayuan;Jamur karat daun;Semprot fungisida dan buang daun sakit
kaggle;Terong;Antraknosa;Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Colletotrichum spp.;Gunakan fungisida dan buang bagian terinfeksi
kaggle;Terong;Embun Tepung;Terdapat bercak pada daun;Jamur Erysiphe spp.;Fungisida sulfur
kaggle;Terong;Busuk Buah Botrytis;Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;jamur Botrytis cinerea;sanitasi kebun, membuang buah terinfeksi, menjaga sirkulasi udara, fungisida
kaggle;Terong;Bercak Daun;Daun tetap hijau, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Alternaria solani;sanitasi daun sakit, rotasi tanaman, penggunaan varietas tahan, fungisida
kaggle;Terong;Bercak Daun;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Alternaria solani;sanitasi daun sakit, rotasi tanaman, penggunaan varietas tahan, fungisida
kaggle;Terong;Layu Fusarium;Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Fusarium oxysporum;Rotasi tanaman, varietas tahan, fungisida
kaggle;Terong;Busuk Akar Phytophthora;Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Phytophthora capsici;perbaikan drainase tanah, rotasi tanaman, mulsa plastik, fungisida metalaksil
manual;Terong;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Terong;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Terong;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Terong;Layu Fusarium;Daun layu dari bawah ke atas;Fusarium oxysporum;Solarisasi tanah, fungisida, varietas tahan
manual;Terong;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Terong;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Pangkas buah sakit, fungisida, drainase baik
manual;Terong;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Terong;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Terong;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Terong;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Tomat;Busuk Akar;Daun berwarna kuning, Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur Rhizoctonia solani;Perbaiki drainase tanah dan gunakan fungisida
kaggle;Tomat;Busuk Lunak;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan;Bakteri Pectobacterium carotovorum;Buang bagian tanaman sakit, kurangi kelembaban, gunakan bakterisida
kaggle;Tomat;Antraknosa;Daun tetap hijau, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Jamur Colletotrichum spp.;Fungisida dan sanitasi kebun
kaggle;Tomat;Busuk Lunak;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Bakteri Erwinia carotovora;Sanitasi lahan dan penggunaan bakterisida
kaggle;Tomat;Karat Daun;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur karat daun;Semprot fungisida dan sanitasi tanaman
kaggle;Tomat;Busuk Lunak;Daun tetap hijau, Pertumbuhan tanaman terhambat;bakteri Pectobacterium carotovorum;sanitasi kebun, penggunaan bibit sehat, pengaturan kelembapan, bakterisida
kaggle;Tomat;Karat Daun;Daun berwarna kuning, Terdapat bercak pada daun;jamur Puccinia spp.;sanitasi kebun, rotasi tanaman, varietas tahan, fungisida
kaggle;Tomat;Antraknosa;Daun tetap hijau;jamur Colletotrichum coccodes;sanitasi kebun, rotasi tanaman, penggunaan benih sehat, fungisida
kaggle;Tomat;Layu Bakteri;Terdapat bercak pada daun, Daun mengalami kelayuan;bakteri Ralstonia solanacearum;bibit sehat, rotasi tanaman, sanitasi kebun, bakterisida
kaggle;Tomat;Jamur Upas;Daun berwarna kuning, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Upasia salmonicolor;pemangkasan bagian sakit, sanitasi kebun, fungisida
kaggle;Tomat;Bercak Daun;Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Septoria lycopersici;sanitasi daun sakit, rotasi tanaman, fungisida
kaggle;Tomat;Busuk Buah Botrytis;Daun tetap hijau, Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur Botrytis cinerea;Sanitasi buah sakit, pengaturan kelembapan, fungisida
kaggle;Tomat;Antraknosa;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Colletotrichum coccodes;rotasi tanaman, sanitasi buah terinfeksi, fungisida klorotalonil atau mankozeb
kaggle;Tomat;Karat Daun;Daun tetap hijau, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Puccinia spp.;sanitasi daun terinfeksi, pengaturan jarak tanam, fungisida mankozeb atau propikonazol
kaggle;Tomat;Jamur Upas;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Jamur Upasia salmonicolor;pemangkasan bagian sakit, sanitasi kebun, fungisida tembaga
kaggle;Tomat;Hawar Daun Bakteri;Terdapat bercak pada daun, Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Bakteri Xanthomonas spp.;benih bebas patogen, sanitasi tanaman sakit, bakterisida tembaga
manual;Tomat;Blas;Daun bercak coklat berbentuk belah ketupat;Jamur Magnaporthe oryzae;Gunakan varietas tahan, fungisida, perbaikan drainase
manual;Tomat;Wereng Batang Coklat;Daun menguning lalu mengering;Nilaparvata lugens;Gunakan insektisida selektif, varietas tahan
manual;Tomat;Ulat Grayak;Daun berlubang tidak beraturan;Spodoptera litura;Gunakan insektisida biologis, perangkap feromon
manual;Tomat;Lalat Buah;Buah berlubang, buah membusuk dari dalam, buah gugur sebelum matang;Bactrocera sp;Solarisasi tanah, fungisida, varietas tahan
manual;Tomat;Antraknosa;Buah muncul bercak hitam cekung;Colletotrichum capsici;Fungisida, panen cepat, rotasi tanaman
manual;Tomat;Busuk Buah;Buah coklat kehitaman, busuk lembek;Phytophthora palmivora;Sanitasi buah terserang, pemusnahan buah jatuh, penggunaan perangkap metil eugenol
manual;Tomat;Karat Daun;Daun bercak kuning-oranye;Hemileia vastatrix;Fungisida tembaga, pangkas daun sakit
manual;Tomat;Virus Kuning;Daun keriting, kerdil, berubah kuning;Virus Gemini via kutu kebul;Kendalikan kutu kebul, varietas tahan
manual;Tomat;Busuk Akar;Akar membusuk, tanaman layu mendadak;Phytophthora spp.;Perbaiki drainase, fungisida tanah
manual;Tomat;Penggerek Buah;Buah berlubang kecil, biji rusak;Hypothenemus hampei;Perangkap serangga, insektisida nabati
kaggle;Wortel;Layu Bakteri;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan;Bakteri Ralstonia solanacearum;Rotasi tanaman dan gunakan bibit sehat
kaggle;Wortel;Layu Bakteri;Daun tetap hijau, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;Bakteri Ralstonia solanacearum;Rotasi tanaman dan sanitasi lahan
kaggle;Wortel;Bercak Daun;Daun tetap hijau, Daun mengalami kelayuan, Batang mengalami pembusukan;Jamur Alternaria dauci;Fungisida dan sanitasi
kaggle;Wortel;Hawar Daun Bakteri;Daun mengalami kelayuan, Pertumbuhan tanaman terhambat;Bakteri patogen daun;Gunakan bakterisida dan benih sehat
kaggle;Wortel;Antraknosa;Daun berwarna kuning, Pertumbuhan tanaman terhambat;Jamur Colletotrichum spp.;Fungisida dan sanitasi tanaman
kaggle;Wortel;Bercak Daun;Daun tetap hijau, Daun mengalami kelayuan;Jamur Alternaria spp.;Fungisida dan rotasi tanaman
kaggle;Wortel;Busuk Buah Botrytis;Daun berwarna kuning, Terdapat bercak pada daun, Batang mengalami pembusukan;Jamur Botrytis cinerea;Sanitasi kebun dan fungisida
kaggle;Wortel;Busuk Hitam;Daun mengalami kelayuan, Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;jamur Alternaria radicina;rotasi tanaman, sanitasi lahan, penggunaan benih sehat, fungisida
kaggle;Wortel;Antraknosa;Daun berwarna kuning, Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Colletotrichum spp.;sanitasi kebun, rotasi tanaman, penggunaan benih sehat, fungisida
kaggle;Wortel;Busuk Lunak;Batang mengalami pembusukan, Pertumbuhan tanaman terhambat;bakteri Pectobacterium carotovorum;sanitasi lahan, penggunaan benih sehat, pengaturan kelembapan, bakterisida
kaggle;Wortel;Busuk Hitam;Terdapat bercak pada daun, Daun mengalami kelayuan, Batang mengalami pembusukan;jamur Alternaria radicina;rotasi tanaman, sanitasi lahan, penggunaan benih sehat, fungisida
